"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4383","TC-16. Оформление заказа","webkit","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1414","TC-11. Добавление товара в корзину из каталога","Mobile Chrome","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","584","DDT: Тест логина для пользователя: ronny.howe35@gmail.com","chromium","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1031","TC-12. Переход в корзину","Mobile Chrome","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","2722","TC-17. Открытие бокового меню","Mobile Safari","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","2084","TC-15. кнопка ""Оформить заказ"" недоступна для пустой корзины","Mobile Safari","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1826","TC-15. кнопка ""Оформить заказ"" недоступна для пустой корзины","webkit","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","961","TC-08: Попытка зарегистрироваться с уже существующим username","firefox","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","1373","DDT: Тест логина для пользователя: ronny.howe35@gmail.com","webkit","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1615","TC-05: Регистрация с пустыми полями – показываются ошибки под каждым полем","Mobile Safari","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","1457","TC-05: Регистрация с пустыми полями – показываются ошибки под каждым полем","webkit","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","2340","TC-09. Отображение списка товаров после логина","Mobile Safari","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","1399","TC-19. Изменение данных для залогиневшегося пользователя","chromium","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","3372","TC-11. Добавление товара в корзину из каталога","Mobile Safari","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","643","TC-08: Попытка зарегистрироваться с уже существующим username","chromium","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","2124","TC-07: Успешная регистрация с валидными данными","firefox","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","6110","TC-12. Переход в корзину","webkit","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","1000","TC-09. Отображение списка товаров после логина","Mobile Chrome","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","2012","TC-07: Успешная регистрация с валидными данными","Mobile Safari","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","696","TC-07: Успешная регистрация с валидными данными","chromium","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","1580","TC-08: Попытка зарегистрироваться с уже существующим username","webkit","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
"","1209","TC-01. Успешный вход с валидными данными","firefox","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1807","TC-17. Открытие бокового меню","firefox","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","1864","TC-18. Успешный логаут","firefox","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","1541","TC-02. Вход с несуществующим логином","Mobile Safari","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1317","DDT: Тест логина для пользователя: karianne_johnson@gmail.com","Mobile Safari","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","2602","TC-17. Открытие бокового меню","webkit","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","4852","TC-19. Изменение данных для залогиневшегося пользователя","webkit","2026-09-08","passed","2026-09-08","menu_logout","ui/menu_logout.spec.js","",""
"","1927","TC-11. Добавление товара в корзину из каталога","firefox","2026-09-08","passed","2026-09-08","inventory","ui/inventory.spec.js","",""
"","1766","TC-13. Корректность состава корзины","firefox","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","580","DDT: Тест логина для пользователя: leah_wuckert@yahoo.com","chromium","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","1288","TC-16. Оформление заказа","chromium","2026-09-08","passed","2026-09-08","cart","ui/cart.spec.js","",""
"","622","DDT: Тест логина для пользователя: ronny.howe35@gmail.com","Mobile Chrome","2026-09-08","passed","2026-09-08","login","ui/login.spec.js","",""
"","576","TC-05: Регистрация с пустыми полями – показываются ошибки под каждым полем","Mobile Chrome","2026-09-08","passed","2026-09-08","register","ui/register.spec.js","",""
